wilayah;cabang;nama;segment;open_cif;saldo_lama;saldo_baru;selisih
W15;JABABEKA;ESYSTEM SOLUTIONS INDONESIA;INS1;2025;3527470000000;71504300000000;67976830000000
W10;MELAWAI RAYA;PLN PERSERO;COB2;1980;89348500000000;124772000000000;35423500000000
W10;MENTENG;SARANA MULTIGRIYA FINANSIAL;INT;2018;12304145140;25012300000000;24999995854860
W04;BANDUNG;TELEKOMUNIKASI INDONESIA;COB3;2010;16064500000000;37608800000000;21544300000000
W10;TEBET;PLN INDONESIA POWER;COB2;2002;538643343720;14912400000000;14373756656280
W10;KCU MEGA KUNINGAN D/H KCU DUKUH BAWAH;VINFAST AUTOMOBILE INDONESIA;COB3;2024;1909510000000;15262800000000;13353290000000
W10;PASAR MAYESTIK;ROIP BP TAPERA FLPP DANA KELOLAAN;INS1;2021;8366460000000;20052300000000;11685840000000
W15;GAMBIR;PERTAMINA PATRA NIAGA;COB2;2006;12800200000000;23378400000000;10578200000000
W15;KRAMAT;BPJS KESEHATAN;INS2;2013;365721310450;6555700000000;6189978689550
W10;SENAYAN;BPJS KETENAGAKERJAAN;INS2;2013;72414900000000;78522900000000;6108000000000
W10;KCU MEGA KUNINGAN D/H KCU DUKUH BAWAH;ESPAY DEBIT INDONESIA KOE;COB1;2017;9519790000000;14574600000000;5054810000000
W10;KCU JAKARTA PUSAT;SYAILENDRA DANA KAS;INT;2017;23895474580;4828590000000;4804694525420
W15;GAMBIR;KILANG PERTAMINA INTERNASIONAL;COB2;2020;7570990000000;12328500000000;4757510000000
W04;JALAN PERINTIS KEMERDEKAAN;KERETA API INDONESIA (PERSERO);COB3;2005;12091100000000;16634900000000;4543800000000
W10;PASAR MAYESTIK;TITAN JAYA SOLUSI;CMB1;2016;44332020600;4463850000000;4419517979400
W15;RAWAMANGUN;PT ASABRI (PERSERO);INS2;2006;2269920000000;6193400000000;3923480000000
W15;GAMBIR;PINDO DELI PULP AND PAPER MILLS;COB1;2007;762477965650;3665870000000;2903392034350
W14;PONDOK INDAH;INDO TAMBANGRAYA MEGAH TBK;COB2;2015;218037787860;2836970000000;2618932212140
W12;HARMONI;RPL 175 BNPB UTK PENAMPUNGAN;INS2;2010;254236795120;2728870000000;2474633204880
W15;KRAMAT;BPJS KESEHATAN;INS2;2014;60000000000000;61913200000000;1913200000000
